"","satisfacao","ultima_avaliacao","volume_projetos","media_horas_mensais","tempo_cia","acidente_trabalho","saiu","promocao_ultimos_5_anos","comercial","salario"
"3461",0.63,"0.59",3,"155",3,1,0,0,"comercial","mediano"
"3462",0.77,"0.65",4,"164",2,0,0,0,"comercial","mediano"
"3463",0.87,"0.74",3,"209",NA,0,0,0,"contabilidade","mediano"
"3464",0.79,"0.61",4,"136",3,0,0,0,"contabilidade","mediano"
"3465",0.54,"0.84",4,"223",3,0,0,0,"contabilidade","mediano"
"3466",0.59,"0.83",4,"239",4,0,0,0,"RH","alto"
"3467",0.86,"0.87",3,"205",4,0,0,0,"RH","baixo"
"3468",0.98,"0.68",3,"203",3,0,0,0,"RH","mediano"
"3469",1,"0.79",5,"152",4,0,0,0,"RH","mediano"
"3470",0.9,"0.79",4,"236",3,1,0,0,"area tecnica","mediano"
"3471",0.34,"0.6",4,"114",3,0,0,0,"area tecnica","mediano"
"3472",0.95,"0.93",3,"209",2,0,0,0,"area tecnica","baixo"
"3473",0.79,"0.48",4,"178",2,0,0,0,"area tecnica","baixo"
"3474",0.13,"0.91",4,"175",5,0,0,0,"area tecnica","baixo"
"3475",0.72,"0.69",3,"270",4,0,0,0,"area tecnica","baixo"
"3476",0.63,"0.54",3,"145",2,1,0,0,"area tecnica","baixo"
"3477",0.81,"0.76",5,"134",2,0,0,0,"area tecnica","baixo"
"3478",0.71,"0.75",4,"272",4,0,0,0,"area tecnica","baixo"
"3479",0.49,"0.76",3,"208",2,0,0,0,"area tecnica","baixo"
"3480",0.59,"0.65",4,"219",3,1,0,0,"area tecnica","baixo"
"3481",0.87,"0.59",5,"154",3,0,0,0,"suporte","baixo"
"3482",NA,"0.6",3,"179",4,0,0,0,"suporte","baixo"
"3483",0.78,"0.92",5,"137",2,0,0,0,"suporte","baixo"
"3484",0.65,"0.7",4,"211",2,0,0,0,"suporte","baixo"
"3485",0.8,"0.97",5,"271",4,0,0,0,"suporte","baixo"
"3486",0.56,"0.75",4,"192",2,0,0,0,"suporte","baixo"
"3487",0.85,"0.67",4,"228",4,0,0,0,"suporte","baixo"
"3488",0.14,"0.46",2,"267",6,1,0,0,"suporte","baixo"
"3489",NA,"0.62",4,"272",2,0,0,0,"suporte","baixo"
"3490",0.86,"0.93",2,"260",2,0,0,0,"suporte","baixo"
"3491",0.71,"0.96",4,"161",3,0,0,0,"suporte","baixo"
"3492",0.83,"0.99",4,"226",2,0,0,0,"area tecnica","baixo"
"3493",0.52,"0.49",4,"249",4,1,0,0,"area tecnica","mediano"
"3494",0.63,"0.8",3,"243",3,0,0,0,"area tecnica","mediano"
"3495",0.92,"0.93",4,"247",2,0,0,0,"gerencia","mediano"
"3496",0.66,"0.87",3,"186",2,0,0,0,"TI","mediano"
"3497",0.77,"0.7",3,"155",3,0,0,0,"TI","mediano"
"3498",0.74,"0.97",2,"135",4,0,0,0,"TI","mediano"
"3499",0.81,"0.76",5,"198",4,0,0,0,"TI","mediano"
"3500",0.67,"0.55",3,"175",2,0,0,0,"TI","mediano"
"3501",0.75,"0.92",3,"192",3,0,0,0,"produtos","mediano"
"3502",0.65,"0.36",2,"282",3,0,0,0,"produtos","mediano"
"3503",0.81,"0.6",4,"179",3,0,0,0,"produtos","mediano"
"3504",0.57,"0.77",4,"245",3,0,0,0,"produtos","mediano"
"3505",0.89,"0.66",4,"235",NA,0,0,0,"TI","alto"
"3506",0.5,"0.56",4,"266",NA,0,0,0,"P&D","baixo"
"3507",0.21,"0.42",4,"269",4,1,0,0,"P&D","mediano"
"3508",0.79,"0.67",3,"264",2,0,0,0,"P&D","mediano"
"3509",0.66,"0.57",3,"161",2,1,0,0,"P&D","mediano"
"3510",0.82,"0.95",3,"203",3,0,0,0,"P&D","mediano"
"3511",0.85,"0.85",4,"258",2,0,0,0,"marketing","baixo"
"3512",0.72,"0.96",3,"143",3,0,0,0,"comercial","baixo"
"3513",0.52,"0.92",3,"214",3,0,0,0,"contabilidade","baixo"
"3514",0.5,"0.62",4,"166",NA,1,0,0,"suporte","baixo"
"3515",0.52,"0.82",3,"192",3,0,0,0,"area tecnica","baixo"
"3516",0.13,"0.87",3,"185",4,1,0,0,"gerencia","baixo"
"3517",0.87,"0.98",4,"173",3,0,0,0,"marketing","baixo"
"3518",0.53,"0.98",2,"163",3,0,0,0,"marketing","baixo"
"3519",0.15,"0.76",5,"277",4,0,0,0,"marketing","baixo"
"3520",0.64,"0.86",5,"274",2,1,0,0,"comercial","baixo"
"3521",0.52,"0.44",3,"119",2,0,0,0,"comercial","baixo"
"3522",0.79,"0.67",4,"267",3,0,0,0,"comercial","baixo"
"3523",0.74,"0.89",3,"160",2,0,0,0,"comercial","baixo"
"3524",0.81,"0.84",4,"198",2,0,0,0,"comercial","baixo"
"3525",0.94,"0.6",3,"193",3,0,0,0,"comercial","baixo"
"3526",0.67,"0.84",6,"250",2,0,0,0,"comercial","baixo"
"3527",0.93,"0.84",3,"237",4,1,0,0,"comercial","baixo"
"3528",0.52,"0.96",4,"170",2,0,0,0,"comercial","baixo"
"3529",0.48,"0.74",2,"157",2,1,0,0,"comercial","mediano"
"3530",0.57,"0.92",6,"267",4,0,0,0,"comercial","mediano"
"3531",0.71,"0.77",4,"192",NA,0,0,0,"comercial","mediano"
"3532",0.9,"0.74",4,"218",2,1,0,0,"comercial","mediano"
"3533",0.58,"0.61",4,"210",NA,0,0,0,"comercial","mediano"
"3534",0.66,"0.48",4,"229",NA,0,0,0,"comercial","mediano"
"3535",0.59,"0.66",3,"186",3,0,0,0,"comercial","mediano"
"3536",0.96,"0.5",3,"234",2,1,0,0,"comercial","mediano"
"3537",0.13,"0.91",2,"149",5,0,0,0,"comercial","mediano"
"3538",0.93,"0.92",3,"205",3,0,0,0,"comercial","mediano"
"3539",0.54,"0.72",3," ",4,0,0,0,"contabilidade","mediano"
"3540",0.54,"0.77",5," ",3,0,0,0,"contabilidade","mediano"
"3541",0.87,"0.62",3,"176",3,0,0,0,"contabilidade","alto"
"3542",0.79,"0.91",3,"226",2,0,0,0,"RH","baixo"
"3543",0.83,"0.57",3," ",4,0,0,0,"RH","mediano"
"3544",0.73,"0.6",3,"137",NA,0,0,0,"RH","mediano"
"3545",NA,"0.42",6,"253",3,0,0,0,"RH","mediano"
"3546",0.8,"0.7",6,"231",4,0,0,0,"area tecnica","mediano"
"3547",0.29,"0.81",3,"189",6,0,0,0,"area tecnica","baixo"
"3548",0.43,"0.85",6,"168",2,0,0,0,"area tecnica","baixo"
"3549",0.99,"0.93",3,"261",3,0,0,0,"area tecnica","baixo"
"3550",0.86,"0.51",4,"152",3,0,0,0,"area tecnica","baixo"
"3551",0.85,"0.78",5,"263",2,1,0,0,"area tecnica","baixo"
"3552",0.66,"0.68",3,"258",3,0,0,0,"area tecnica","baixo"
"3553",0.57,"0.99",3,"205",3,0,0,0,"area tecnica","baixo"
"3554",0.31,"0.64",6,"183",2,1,0,0,"area tecnica","baixo"
"3555",0.88,"0.88",3,"153",3,0,0,0,"area tecnica","baixo"
"3556",0.72,"0.72",5,"194",4,0,0,0,"area tecnica","baixo"
"3557",0.75,"0.66",4,"202",NA,0,0,0,"suporte","baixo"
"3558",0.82,"0.71",4,"164",4,0,0,0,"suporte","baixo"
"3559",0.82,"0.67",3,"213",2,0,0,0,"suporte","baixo"
"3560",0.15,"0.52",4,"265",6,0,0,0,"suporte","baixo"
"3561",0.16,"0.88",6,"218",3,0,0,0,"suporte","baixo"
"3562",0.95,"0.4",5,"286",4,0,0,0,"suporte","baixo"
"3563",0.87,"0.73",3," ",3,1,0,0,"suporte","baixo"
"3564",0.85,"0.89",4,"251",2,0,0,0,"suporte","baixo"
"3565",0.58,"0.6",3,"110",3,1,0,0,"suporte","baixo"
"3566",0.63,"0.86",3,"269",NA,0,0,0,"suporte","baixo"
"3567",0.69,"0.68",3,"151",3,1,0,0,"suporte","baixo"
"3568",0.53,"0.85",5,"161",2,0,0,0,"area tecnica","mediano"
"3569",0.96,"0.71",4,"210",3,0,0,0,"area tecnica","mediano"
"3570",0.73,"0.83",2,"167",3,0,0,0,"area tecnica","mediano"
"3571",0.5,"0.6",3,"270",3,1,0,0,"gerencia","mediano"
"3572",0.81,"0.83",3,"133",3,1,0,0,"TI","mediano"
"3573",0.82,"0.59",3,"249",3,0,0,0,"TI","mediano"
"3574",0.76,"0.72",4,"266",3,0,0,0,"TI","mediano"
"3575",0.27,"0.82",4,"276",2,0,0,0,"TI","mediano"
"3576",0.64,"0.38",6,"215",3,0,0,0,"TI","mediano"
"3577",0.57,"0.9",3,"262",2,0,0,0,"produtos","mediano"
"3578",0.49,"0.84",5,"193",3,0,0,0,"produtos","mediano"
"3579",0.66,"0.92",2,"102",4,0,0,0,"produtos","mediano"
"3580",0.71,"0.36",4,"278",4,1,0,0,"produtos","alto"
"3581",0.61,"0.63",3,"250",4,0,0,0,"TI","baixo"
"3582",0.52,"0.89",5,"193",NA,0,0,0,"P&D","mediano"
"3583",NA,"0.91",3,"133",3,0,0,0,"P&D","mediano"
"3584",NA,"0.65",4,"216",4,0,0,0,"P&D","mediano"
"3585",NA,"0.56",5,"174",2,1,0,0,"P&D","mediano"
"3586",0.85,"0.62",2,"280",4,0,0,0,"P&D","baixo"
"3587",0.84,"0.85",4,"246",2,0,0,0,"marketing","baixo"
"3588",1,"0.53",3,"142",3,0,0,0,"comercial","baixo"
"3589",0.72,"0.76",4,"144",3,1,0,0,"contabilidade","baixo"
"3590",NA,"0.75",6,"100",4,1,0,0,"suporte","baixo"
"3591",0.64,"0.71",5,"212",2,0,0,0,"area tecnica","baixo"
"3592",1,"0.76",5,"201",3,0,0,0,"gerencia","baixo"
"3593",0.75,"0.59",5,"206",2,0,0,0,"marketing","baixo"
"3594",0.81,"0.77",4,"197",3,0,0,0,"marketing","baixo"
"3595",0.31,"0.98",5,"232",5,0,0,0,"marketing","baixo"
"3596",0.32,"0.97",6,"272",2,0,0,0,"comercial","baixo"
"3597",0.48,"0.5",4,"173",3,0,0,0,"comercial","baixo"
"3598",0.62,"0.42",2,"124",NA,0,0,0,"comercial","baixo"
"3599",0.77,"0.86",5,"282",4,0,0,0,"comercial","baixo"
"3600",0.76,"0.8",2,"219",4,1,0,0,"comercial","baixo"
"3601",0.68,"0.41",3,"106",6,0,0,0,"comercial","baixo"
"3602",0.72,"0.79",4,"192",4,0,0,0,"comercial","baixo"
"3603",0.87,"0.91",5,"190",2,0,0,0,"comercial","baixo"
"3604",0.59,"0.57",2,"156",2,0,0,0,"comercial","baixo"
"3605",0.7,"0.64",3,"180",2,0,0,0,"comercial","baixo"
"3606",0.73,"0.81",4,"245",2,0,0,0,"comercial","baixo"
"3607",0.58,"0.62",3,"169",2,0,0,0,"comercial","mediano"
"3608",0.64,"0.66",3," ",4,0,0,0,"comercial","mediano"
"3609",0.89,"0.66",5,"224",2,0,0,0,"comercial","mediano"
"3610",0.95,"0.71",3,"263",2,1,0,0,"comercial","mediano"
"3611",0.84,"0.9",3,"262",2,0,0,0,"comercial","mediano"
"3612",0.6,"0.99",4,"225",3,0,0,0,"comercial","mediano"
"3613",0.71,"0.63",5,"224",3,1,0,0,"comercial","mediano"
"3614",0.6,"0.95",3,"266",3,0,0,0,"comercial","mediano"
"3615",0.91,"0.68",3,"218",3,1,0,0,"contabilidade","mediano"
"3616",0.75,"1",3,"102",3,0,0,0,"contabilidade","mediano"
"3617",0.7,"0.67",4,"181",3,0,0,0,"contabilidade","mediano"
"3618",0.23,"0.64",5,"150",5,0,0,0,"RH","mediano"
"3619",0.73,"0.83",4,"270",2,0,0,0,"RH","alto"
"3620",0.99,"0.49",4,"270",NA,0,0,0,"RH","baixo"
"3621",0.62,"0.68",5,"265",3,0,0,0,"RH","mediano"
"3622",0.98,"0.89",4,"169",3,0,0,0,"area tecnica","mediano"
"3623",NA,"0.94",3,"224",NA,0,0,0,"area tecnica","mediano"
"3624",0.52,"0.92",3,"150",2,1,0,0,"area tecnica","mediano"
"3625",0.65,"0.66",5,"239",4,0,0,0,"area tecnica","baixo"
"3626",0.59,"0.9",3,"245",3,1,0,0,"area tecnica","baixo"
"3627",0.71,"0.8",3,"182",2,1,0,0,"area tecnica","baixo"
"3628",0.18,"0.7",5,"182",4,0,0,0,"area tecnica","baixo"
"3629",0.21,"0.93",4,"243",4,0,0,0,"area tecnica","baixo"
"3630",0.15,"0.67",6,"209",5,0,0,0,"area tecnica","baixo"
"3631",0.97,"0.53",4,"195",4,0,0,0,"area tecnica","baixo"
"3632",0.39,"0.48",3,"190",2,0,0,0,"area tecnica","baixo"
"3633",0.35,"0.66",2,"140",2,0,0,0,"suporte","mediano"
"3634",0.88,"0.58",4," ",4,0,0,0,"suporte","mediano"
"3635",0.58,"0.97",3,"265",3,0,0,0,"suporte","mediano"
"3636",0.61,"0.78",3,"238",2,0,0,0,"suporte","mediano"
"3637",0.59,"0.98",3,"155",3,0,0,0,"suporte","mediano"
"3638",0.55,"0.41",4,"132",5,1,0,0,"suporte","mediano"
"3639",0.52,"0.8",5,"257",3,0,0,0,"suporte","mediano"
"3640",0.71,"0.77",2,"255",3,0,0,0,"suporte","mediano"
"3641",0.63,"0.82",5,"229",2,0,0,0,"suporte","mediano"
"3642",0.17,"0.84",5,"216",4,0,0,0,"suporte","mediano"
"3643",0.95,"0.49",4,"269",4,0,0,0,"suporte","mediano"
"3644",1,"0.73",3,"205",2,0,0,0,"area tecnica","mediano"
"3645",0.73,"0.96",2,"151",3,0,0,0,"area tecnica","mediano"
"3646",0.8,"0.64",4,"246",NA,1,0,0,"area tecnica","mediano"
"3647",0.63,"0.8",4,"256",4,0,0,0,"gerencia","mediano"
"3648",0.95,"0.59",4,"235",3,0,0,0,"TI","mediano"
"3649",0.75,"0.83",4,"229",2,0,0,0,"TI","mediano"
"3650",0.64,"0.72",5,"158",3,0,0,0,"TI","mediano"
"3651",0.72,"1",3," ",3,0,0,0,"TI","mediano"
"3652",NA,"0.53",3,"151",4,0,0,0,"TI","mediano"
"3653",0.85,"0.63",3,"167",3,0,0,0,"produtos","mediano"
"3654",0.24,"0.94",4,"146",4,0,0,0,"produtos","mediano"
"3655",0.69,"0.53",4,"281",4,0,0,0,"produtos","mediano"
"3656",0.69,"0.7",3,"212",2,0,0,0,"produtos","mediano"
"3657",0.87,"0.59",5,"261",3,0,0,0,"TI","mediano"
"3658",0.78,"0.91",3,"238",2,0,0,0,"P&D","alto"
"3659",0.76,"0.74",4,"235",3,0,0,0,"P&D","alto"
"3660",0.35,"0.7",3,"107",3,0,0,0,"P&D","alto"
"3661",0.88,"0.59",6,"243",4,0,0,0,"P&D","alto"
"3662",0.78,"0.79",5,"233",3,1,0,0,"P&D","alto"
"3663",0.36,"0.42",3,"206",5,0,0,0,"marketing","alto"
"3664",0.24,"0.7",5,"172",4,0,0,0,"comercial","alto"
"3665",0.55,"0.82",3,"248",2,0,0,0,"contabilidade","alto"
"3666",NA,"0.53",3,"147",4,1,0,0,"suporte","alto"
"3667",0.66,"0.61",5,"259",3,0,0,0,"area tecnica","alto"
"3668",0.57,"0.82",3,"267",3,0,0,0,"gerencia","alto"
"3669",0.64,"0.64",3,"263",NA,0,0,0,"marketing","alto"
"3670",0.63,"0.98",3,"160",4,1,0,0,"marketing","baixo"
"3671",0.49,"0.92",5,"176",3,0,0,0,"marketing","baixo"
"3672",0.7,"0.7",3,"224",3,0,0,0,"comercial","baixo"
"3673",0.3,"0.71",3,"155",2,0,0,0,"comercial","baixo"
"3674",0.51,"0.52",3,"132",3,0,0,0,"comercial","baixo"
"3675",0.71,"0.87",5,"173",3,0,0,0,"comercial","baixo"
"3676",0.64,"0.67",3,"165",3,0,0,0,"comercial","baixo"
"3677",0.67,"0.66",6,"272",3,0,0,0,"comercial","baixo"
"3678",0.83,"0.94",5,"156",3,1,0,0,"comercial","baixo"
"3679",0.92,"0.96",3,"154",2,1,0,0,"comercial","baixo"
"3680",0.84,"0.53",3,"237",3,1,0,0,"comercial","baixo"
"3681",0.97,"0.75",2,"271",6,0,0,0,"comercial","baixo"
"3682",0.19,"0.91",6,"152",3,0,0,0,"comercial","baixo"
"3683",0.86,"0.51",4,"152",3,1,0,0,"comercial","baixo"
"3684",0.71,"0.69",3,"172",3,0,0,0,"comercial","baixo"
"3685",0.76,"0.56",4,"214",2,1,0,0,"comercial","mediano"
"3686",0.68,"0.88",5,"201",3,0,0,0,"comercial","mediano"
"3687",0.61,"0.99",2,"275",3,1,0,0,"comercial","mediano"
"3688",0.85,"0.79",3,"156",3,0,0,0,"comercial","mediano"
"3689",0.84,"0.89",3,"234",2,0,0,0,"comercial","mediano"
"3690",0.62,"0.63",2,"123",2,0,0,0,"comercial","mediano"
"3691",0.77,"0.76",3,"201",4,0,0,0,"contabilidade","mediano"
"3692",0.79,"0.93",5,"160",4,1,0,0,"contabilidade","mediano"
"3693",NA,"0.5",3," ",2,0,0,0,"contabilidade","mediano"
"3694",0.59,"0.61",4,"141",2,1,0,0,"RH","mediano"
"3695",0.93,"0.62",3,"231",6,0,0,0,"RH","mediano"
"3696",0.85,"0.54",4,"174",2,0,0,0,"RH","mediano"
"3697",0.7,"0.57",4,"211",3,0,0,0,"RH","alto"
"3698",0.54,"0.91",3,"249",3,0,0,0,"area tecnica","alto"
"3699",0.42,"0.86",2,"108",5,0,0,0,"area tecnica","alto"
"3700",0.96,"0.75",4,"165",3,0,0,0,"area tecnica","alto"
"3701",0.58,"0.8",3,"181",4,0,0,0,"area tecnica","alto"
"3702",0.61,"0.59",3,"237",2,0,0,0,"area tecnica","alto"
"3703",0.62,"0.97",5,"180",2,0,0,0,"area tecnica","alto"
"3704",0.68,"0.7",3,"209",3,0,0,0,"area tecnica","alto"
"3705",0.6,"0.73",3,"191",NA,1,0,0,"area tecnica","baixo"
"3706",0.7,"0.91",4,"181",2,1,0,0,"area tecnica","baixo"
"3707",0.65,"0.55",4,"250",NA,0,0,0,"area tecnica","baixo"
"3708",0.48,"0.59",2,"179",2,0,0,0,"area tecnica","baixo"
"3709",0.75,"0.73",3,"225",4,0,0,0,"suporte","baixo"
"3710",0.69,"0.78",5,"267",2,1,0,0,"suporte","baixo"
"3711",0.34,"0.46",2,"169",2,1,0,0,"suporte","baixo"
"3712",0.59,"0.49",4,"164",3,0,0,0,"suporte","baixo"
"3713",0.94,"0.95",4,"155",3,0,0,0,"suporte","mediano"
"3714",0.98,"0.77",5,"223",2,1,0,0,"suporte","mediano"
"3715",0.72,"0.66",3,"160",3,0,0,0,"suporte","mediano"
"3716",0.79,"0.7",4,"268",2,0,0,0,"suporte","mediano"
"3717",0.54,"0.61",4,"151",4,1,0,0,"suporte","mediano"
"3718",0.73,"0.95",3,"156",2,0,0,0,"suporte","mediano"
"3719",0.82,"0.58",4,"136",3,0,0,0,"suporte","mediano"
"3720",0.57,"0.45",3,"189",2,0,0,0,"area tecnica","mediano"
"3721",0.98,"0.93",5,"203",2,0,0,0,"area tecnica","mediano"
"3722",0.91,"0.65",5,"174",NA,0,0,0,"area tecnica","mediano"
"3723",0.72,"0.91",3,"239",2,0,0,0,"gerencia","mediano"
"3724",0.48,"0.73",5,"152",6,0,0,0,"TI","mediano"
"3725",0.57,"0.86",4,"268",6,0,0,0,"TI","mediano"
"3726",0.86,"0.96",4,"146",3,0,0,0,"TI","mediano"
"3727",0.63,"0.85",3,"232",NA,0,0,0,"TI","mediano"
"3728",0.81,"0.52",3,"255",5,0,0,0,"TI","mediano"
"3729",0.21,"0.37",4,"129",4,0,0,0,"produtos","mediano"
"3730",0.9,"0.66",3,"261",3,1,0,0,"produtos","mediano"
"3731",0.79,"0.78",3,"101",2,1,0,0,"produtos","mediano"
"3732",0.95,"0.49",4,"229",NA,0,0,0,"produtos","mediano"
"3733",0.29,"0.43",3,"162",4,0,0,0,"TI","mediano"
"3734",0.81,"0.52",4,"270",3,0,0,0,"P&D","mediano"
"3735",0.21,"0.56",6,"277",5,0,0,0,"P&D","mediano"
"3736",0.7,"0.83",5,"261",4,0,0,0,"P&D","alto"
"3737",0.66,"0.64",4,"204",2,0,0,0,"P&D","baixo"
"3738",NA,"0.86",2,"215",2,0,0,0,"P&D","mediano"
"3739",0.72,"0.8",3,"219",3,0,0,0,"marketing","mediano"
"3740",0.51,"0.5",3,"147",4,0,0,0,"comercial","mediano"
"3741",0.59,"0.63",5,"243",2,0,0,0,"contabilidade","mediano"
"3742",0.66,"0.4",2,"155",5,1,0,0,"suporte","mediano"
"3743",0.69,"0.84",3,"253",2,0,0,0,"area tecnica","mediano"
"3744",0.69,"0.94",4,"235",3,0,0,0,"gerencia","mediano"
"3745",0.89,"0.79",5,"257",3,0,0,0,"marketing","mediano"
"3746",0.52,"0.56",4,"225",2,0,0,0,"marketing","mediano"
"3747",0.91,"0.91",3,"167",3,0,0,0,"marketing","mediano"
"3748",0.96,"0.53",5,"224",NA,0,0,0,"comercial","baixo"
"3749",0.8,"0.58",5,"127",NA,0,0,0,"comercial","baixo"
"3750",0.55,"0.77",3,"256",3,1,0,0,"comercial","baixo"
"3751",0.93,"0.63",4,"233",2,0,0,0,"comercial","baixo"
"3752",0.93,"0.86",4,"169",4,0,0,0,"comercial","baixo"
"3753",0.54,"0.48",3,"152",2,0,0,0,"comercial","baixo"
"3754",0.48,"0.76",5," ",2,0,0,0,"comercial","baixo"
"3755",0.19,"0.99",3,"154",2,0,0,0,"comercial","alto"
"3756",0.95,"0.71",3,"223",2,0,0,0,"comercial","baixo"
"3757",0.96,"0.81",4,"211",3,0,0,0,"comercial","alto"
"3758",0.63,"0.89",4,"192",2,0,0,0,"comercial","alto"
"3759",0.81,"0.8",4,"227",2,1,0,0,"comercial","baixo"
"3760",0.5,"0.88",4,"265",3,1,0,0,"comercial","baixo"
"3761",0.76,"0.72",5,"228",2,0,0,0,"comercial","alto"
"3762",0.84,"0.49",4,"152",3,0,0,0,"comercial","baixo"
"3763",0.2,"0.95",5,"169",5,0,0,0,"comercial","mediano"
"3764",0.78,"0.92",3,"169",3,0,0,0,"comercial","alto"
"3765",0.8,"0.68",4,"157",3,0,0,0,"comercial","mediano"
"3766",0.94,"0.57",4,"251",2,1,0,0,"comercial","mediano"
"3767",0.44,"0.74",5,"253",2,0,0,0,"contabilidade","mediano"
"3768",0.92,"0.85",3,"155",2,0,0,0,"contabilidade","mediano"
"3769",0.54,"0.8",3,"232",2,0,0,0,"contabilidade","alto"
"3770",0.56,"0.56",4,"195",2,0,0,0,"RH","mediano"
"3771",NA,"0.69",4,"198",NA,1,0,0,"RH","mediano"
"3772",0.8,"0.91",3,"246",3,0,0,0,"RH","mediano"
"3773",0.6,"0.81",2,"214",3,0,0,0,"RH","alto"
"3774",0.73,"0.73",5,"249",3,0,0,0,"area tecnica","mediano"
"3775",0.55,"0.74",3,"211",3,1,0,0,"area tecnica","alto"
"3776",0.7,"0.71",5,"269",3,0,0,0,"area tecnica","baixo"
"3777",0.53,"0.68",4,"214",3,0,0,0,"area tecnica","mediano"
"3778",0.9,"0.94",4,"231",3,0,0,0,"area tecnica","mediano"
"3779",0.8,"0.78",3,"175",3,0,0,0,"area tecnica","mediano"
"3780",0.51,"0.6",5,"175",3,0,0,0,"area tecnica","mediano"
"3781",0.86,"0.96",5,"238",5,0,0,0,"area tecnica","baixo"
"3782",0.63,"0.79",4,"228",4,0,0,0,"area tecnica","baixo"
"3783",0.83,"0.93",3,"220",4,0,0,0,"area tecnica","baixo"
"3784",0.85,"0.55",4,"233",2,1,0,0,"area tecnica","baixo"
"3785",0.8,"0.57",3,"225",4,0,0,0,"suporte","baixo"
"3786",0.79,"0.97",5,"187",3,0,0,0,"suporte","baixo"
"3787",0.37,"0.71",3,"117",3,0,0,0,"suporte","baixo"
"3788",0.85,"0.9",3,"184",3,1,0,0,"suporte","baixo"
"3789",0.76,"0.56",3,"216",NA,0,0,0,"suporte","baixo"
"3790",0.99,"0.62",4,"140",2,1,0,0,"suporte","baixo"
"3791",0.55,"0.63",3,"201",2,1,0,0,"suporte","alto"
"3792",0.69,"0.69",4,"167",3,1,0,0,"suporte","baixo"
"3793",0.68,"1",5,"203",2,0,0,0,"suporte","baixo"
"3794",0.69,"0.9",5,"231",2,1,0,0,"suporte","baixo"
"3795",NA,"0.7",3,"141",4,0,0,0,"suporte","baixo"
"3796",NA,"0.88",6,"226",3,1,0,0,"area tecnica","alto"
"3797",0.48,"0.65",3," ",2,0,0,0,"area tecnica","baixo"
"3798",0.65,"0.59",4,"192",3,0,0,0,"area tecnica","baixo"
"3799",0.57,"0.49",4,"247",NA,0,0,0,"gerencia","baixo"
"3800",0.8,"0.67",3,"164",3,0,0,0,"TI","alto"
"3801",NA,"0.6",5,"234",2,0,0,0,"TI","baixo"
"3802",0.5,"0.6",2,"177",3,1,0,0,"TI","mediano"
"3803",0.95,"0.87",3,"208",2,0,0,0,"TI","alto"
"3804",0.69,"0.93",3,"233",3,0,0,0,"TI","mediano"
"3805",0.74,"0.57",4,"172",3,0,0,0,"produtos","alto"
"3806",NA,"0.59",3,"141",3,0,0,0,"produtos","mediano"
"3807",0.68,"0.55",3,"213",3,0,0,0,"produtos","mediano"
"3808",0.65,"0.37",5,"128",3,1,0,0,"produtos","mediano"
"3809",0.85,"0.92",4,"151",3,1,0,0,"TI","mediano"
"3810",NA,"0.48",4,"247",3,0,0,0,"P&D","mediano"
"3811",0.19,"0.8",6,"143",4,0,0,0,"P&D","mediano"
"3812",0.95,"0.61",3,"164",3,0,0,0,"P&D","mediano"
"3813",0.63,"0.62",3,"183",3,0,0,0,"P&D","mediano"
"3814",0.83,"0.8",4,"274",3,0,0,0,"P&D","alto"
"3815",0.62,"0.78",4,"261",2,0,0,0,"marketing","baixo"
"3816",0.74,"0.98",5,"200",3,0,0,0,"comercial","mediano"
"3817",0.7,"0.87",5,"177",2,0,0,0,"contabilidade","mediano"
"3818",0.28,"0.38",5,"139",4,0,0,0,"suporte","mediano"
"3819",0.39,"0.56",6,"228",5,0,0,0,"area tecnica","mediano"
"3820",0.62,"0.63",3,"230",2,0,0,0,"gerencia","mediano"
"3821",0.79,"0.54",5,"212",4,0,0,0,"marketing","mediano"
"3822",0.87,"0.74",4,"265",4,0,0,0,"marketing","mediano"
"3823",0.29,"0.75",3,"124",NA,0,0,0,"marketing","mediano"
"3824",0.37,"0.88",4,"155",3,0,0,0,"comercial","mediano"
"3825",0.68,"0.55",4,"215",4,0,0,0,"comercial","alto"
"3826",0.9,"0.51",4,"214",2,0,0,0,"comercial","baixo"
"3827",0.97,"0.65",3,"181",3,0,0,0,"comercial","baixo"
"3828",0.6,"0.77",4,"229",2,0,0,0,"comercial","baixo"
"3829",0.58,"0.79",5,"262",2,0,0,0,"comercial","alto"
"3830",0.83,"0.86",3,"165",3,0,0,0,"comercial","baixo"
"3831",0.83,"0.73",5,"136",3,0,0,0,"comercial","baixo"
"3832",0.94,"0.71",4,"151",2,1,0,0,"comercial","baixo"
"3833",0.69,"0.9",5,"226",4,0,0,0,"comercial","alto"
"3834",0.81,"0.81",5,"215",2,0,0,0,"comercial","baixo"
"3835",0.19,"0.5",6,"143",5,1,0,0,"comercial","baixo"
"3836",0.18,"0.64",3,"223",4,1,0,0,"comercial","baixo"
"3837",0.58,"0.63",4,"271",3,0,0,0,"comercial","baixo"
"3838",0.76,"0.65",3,"220",3,0,0,0,"comercial","baixo"
"3839",0.26,"0.47",6,"182",4,0,0,0,"comercial","baixo"
"3840",0.78,"0.87",3,"190",3,0,0,0,"comercial","baixo"
"3841",0.71,"0.56",3,"198",3,0,0,0,"comercial","mediano"
"3842",0.76,"0.61",3,"141",2,0,0,0,"comercial","mediano"
"3843",0.44,"0.81",3,"248",2,0,0,0,"contabilidade","mediano"
"3844",0.26,"0.69",2,"168",5,0,0,0,"contabilidade","mediano"
